1	-1.22479	1.50075	2.25602	-0.00287109	0.0054086	8.41268e-05
2	-1.39545	1.9481	3.80147	-0.000668945	0.0105486	0.000374627
3	-1.47568	2.17847	4.75305	0.00401367	0.0173812	0.000924505
4	-1.51957	2.30988	5.3428	0.00609375	0.0235912	0.00158456
5	-1.55263	2.41148	5.82316	0.00589844	0.029888	0.00252789
6	-1.57534	2.48257	6.17178	0.00635742	0.0359168	0.00369151
7	-1.59462	2.54378	6.48054	0.0122754	0.0431919	0.00542349
8	-1.60865	2.58887	6.71378	0.0144189	0.0491502	0.00695183
9	-1.62198	2.6318	6.93678	0.0132373	0.0532371	0.00831567
10	-1.63197	2.66427	7.10841	0.0122021	0.0590546	0.0102217
11	-1.64206	2.6974	7.28724	0.0160303	0.0650134	0.0122178
12	-1.65042	2.72511	7.43963	0.0186084	0.071521	0.0147604
13	-1.65583	2.74285	7.53513	0.0183594	0.0776347	0.0174873
14	-1.66637	2.77796	7.73028	0.0151416	0.0852644	0.0205609
15	-1.67584	2.80971	7.90873	0.0149707	0.0905486	0.022413
16	-1.68177	2.82955	8.02019	0.0151221	0.09546	0.0244706
17	-1.68115	2.82754	8.00946	0.0155078	0.0994042	0.0259255
18	-1.68429	2.83824	8.07165	0.0181689	0.106102	0.0295569
19	-1.69032	2.85864	8.18852	0.0208496	0.112303	0.0326356
20	-1.69673	2.88001	8.30754	0.0189209	0.115721	0.034949



